filename	score
synthetic_cv_11_3.txt	98.0
synthetic_cv_11_14.txt	97.0
synthetic_cv_6_9.txt	97.0
synthetic_cv_6_18.txt	96.0
synthetic_cv_11_10.txt	96.0
synthetic_cv_6_5.txt	96.0
synthetic_cv_6_3.txt	96.0
synthetic_cv_11_18.txt	96.0
synthetic_cv_6_1.txt	96.0
synthetic_cv_11_5.txt	95.0
synthetic_cv_11_15.txt	95.0
synthetic_cv_11_11.txt	95.0
synthetic_cv_11_12.txt	95.0
synthetic_cv_6_2.txt	95.0
synthetic_cv_6_13.txt	95.0
synthetic_cv_1_2.txt	95.0
synthetic_cv_6_11.txt	95.0
synthetic_cv_11_9.txt	95.0
synthetic_cv_1_8.txt	94.0
synthetic_cv_7_11.txt	94.0
synthetic_cv_11_13.txt	94.0
synthetic_cv_11_8.txt	94.0
synthetic_cv_6_19.txt	93.0
synthetic_cv_6_20.txt	93.0
synthetic_cv_11_16.txt	93.0
synthetic_cv_11_20.txt	93.0
synthetic_cv_11_19.txt	93.0
synthetic_cv_9_18.txt	93.0
synthetic_cv_6_14.txt	93.0
synthetic_cv_5_10.txt	92.0
synthetic_cv_6_4.txt	92.0
synthetic_cv_11_6.txt	91.0
synthetic_cv_11_1.txt	91.0
synthetic_cv_2_15.txt	91.0
synthetic_cv_4_5.txt	91.0
synthetic_cv_3_19.txt	91.0
synthetic_cv_2_17.txt	90.0
synthetic_cv_11_4.txt	89.0
synthetic_cv_4_20.txt	89.0
synthetic_cv_11_7.txt	89.0
synthetic_cv_7_9.txt	89.0
synthetic_cv_11_2.txt	89.0
synthetic_cv_9_5.txt	89.0
synthetic_cv_5_8.txt	89.0
synthetic_cv_5_14.txt	89.0
synthetic_cv_11_17.txt	89.0
synthetic_cv_7_10.txt	89.0
synthetic_cv_7_12.txt	89.0
synthetic_cv_4_8.txt	89.0
synthetic_cv_7_15.txt	89.0
synthetic_cv_2_14.txt	89.0
synthetic_cv_4_6.txt	89.0
synthetic_cv_2_7.txt	89.0
synthetic_cv_4_1.txt	89.0
synthetic_cv_2_6.txt	89.0
synthetic_cv_2_4.txt	89.0
synthetic_cv_5_18.txt	89.0
synthetic_cv_7_7.txt	89.0
synthetic_cv_3_20.txt	89.0
synthetic_cv_3_1.txt	89.0
synthetic_cv_1_3.txt	89.0
synthetic_cv_5_6.txt	89.0
synthetic_cv_4_10.txt	89.0
synthetic_cv_6_15.txt	89.0
synthetic_cv_1_20.txt	89.0
synthetic_cv_1_6.txt	89.0
synthetic_cv_7_1.txt	89.0
synthetic_cv_6_17.txt	89.0
synthetic_cv_9_1.txt	88.0
synthetic_cv_1_10.txt	88.0
synthetic_cv_9_2.txt	88.0
synthetic_cv_1_15.txt	88.0
synthetic_cv_9_7.txt	88.0
synthetic_cv_7_8.txt	88.0
synthetic_cv_2_8.txt	88.0
synthetic_cv_2_20.txt	88.0
synthetic_cv_9_15.txt	88.0
synthetic_cv_9_13.txt	88.0
synthetic_cv_2_1.txt	88.0
synthetic_cv_7_19.txt	88.0
synthetic_cv_9_20.txt	88.0
synthetic_cv_2_2.txt	88.0
synthetic_cv_2_12.txt	88.0
synthetic_cv_2_10.txt	88.0
synthetic_cv_3_3.txt	88.0
synthetic_cv_1_18.txt	88.0
synthetic_cv_3_4.txt	88.0
synthetic_cv_6_16.txt	88.0
synthetic_cv_3_16.txt	87.0
synthetic_cv_3_15.txt	87.0
synthetic_cv_3_11.txt	87.0
synthetic_cv_1_16.txt	87.0
synthetic_cv_1_17.txt	87.0
synthetic_cv_9_10.txt	87.0
synthetic_cv_4_4.txt	87.0
synthetic_cv_6_7.txt	87.0
synthetic_cv_5_4.txt	87.0
synthetic_cv_5_7.txt	87.0
synthetic_cv_6_10.txt	87.0
synthetic_cv_3_5.txt	87.0
synthetic_cv_4_11.txt	87.0
synthetic_cv_3_18.txt	87.0
synthetic_cv_4_13.txt	87.0
synthetic_cv_3_6.txt	87.0
synthetic_cv_4_18.txt	86.0
synthetic_cv_9_17.txt	86.0
synthetic_cv_5_17.txt	86.0
synthetic_cv_7_17.txt	86.0
synthetic_cv_7_14.txt	86.0
synthetic_cv_4_7.txt	86.0
synthetic_cv_4_2.txt	86.0
synthetic_cv_2_5.txt	86.0
synthetic_cv_6_12.txt	86.0
synthetic_cv_1_19.txt	86.0
synthetic_cv_7_3.txt	86.0
synthetic_cv_1_9.txt	85.0
synthetic_cv_1_12.txt	85.0
synthetic_cv_3_17.txt	85.0
synthetic_cv_9_3.txt	85.0
synthetic_cv_3_9.txt	85.0
synthetic_cv_3_10.txt	85.0
synthetic_cv_4_19.txt	85.0
synthetic_cv_3_13.txt	85.0
synthetic_cv_3_12.txt	85.0
synthetic_cv_9_16.txt	85.0
synthetic_cv_5_12.txt	85.0
synthetic_cv_4_9.txt	85.0
synthetic_cv_7_16.txt	85.0
synthetic_cv_9_11.txt	85.0
synthetic_cv_2_18.txt	85.0
synthetic_cv_2_19.txt	85.0
synthetic_cv_5_20.txt	85.0
synthetic_cv_6_6.txt	85.0
synthetic_cv_2_16.txt	85.0
synthetic_cv_2_3.txt	85.0
synthetic_cv_4_3.txt	85.0
synthetic_cv_7_20.txt	85.0
synthetic_cv_7_6.txt	85.0
synthetic_cv_4_16.txt	85.0
synthetic_cv_7_5.txt	85.0
synthetic_cv_4_14.txt	85.0
synthetic_cv_5_3.txt	85.0
synthetic_cv_5_1.txt	85.0
synthetic_cv_1_4.txt	85.0
synthetic_cv_4_12.txt	85.0
synthetic_cv_7_2.txt	85.0
synthetic_cv_3_8.txt	84.0
synthetic_cv_3_14.txt	84.0
synthetic_cv_9_6.txt	84.0
synthetic_cv_1_14.txt	84.0
synthetic_cv_2_9.txt	84.0
synthetic_cv_2_13.txt	84.0
synthetic_cv_2_11.txt	84.0
synthetic_cv_3_2.txt	84.0
synthetic_cv_1_1.txt	84.0
